language_name,language_bytes
Java,25325
HTML,1833
JavaScript,1658712
PHP,20126
Awk,3962
C,11299219
C++,5711413
CSS,32816
D,4568427
JavaScript,2140
Lua,9439
Objective-C,90386
Python,171467
Shell,537018
CoffeeScript,33861
Shell,116
,
Julia,26235
Java,8669
Python,3793
TeX,1022
JavaScript,13537
CSS,26954
HTML,169575
JavaScript,172314
JavaScript,45919
Python,33098
Objective-C,2642
CSS,39430
HTML,70534
JavaScript,252985
Makefile,1337
Shell,1078
TeX,7081
C++,54875
CSS,87024
HTML,110657
JavaScript,129982
Mako,412
PLSQL,11181
Python,1904472
CSS,4327
HTML,26612
Java,327604
JavaScript,3487
Scala,2955
C#,315347
Haskell,79141
JavaScript,4515
PHP,24073
Java,8870
C,8560
C++,33063
Python,14100
C++,93990
CMake,717
Makefile,376
,
Puppet,3299
Ruby,400
Shell,3730
,
Jupyter Notebook,265942
Java,15712
CSS,160002
Groovy,340
HTML,8424
JavaScript,79273
Python,81729
Shell,7410
Assembly,14663
C,14937500
C++,1832563
Objective-C,54548
Shell,7686
Java,17551
HTML,233
JavaScript,4616
Shell,798
JavaScript,1432
Shell,525
Python,4156
,
HTML,2625
JavaScript,33168
C#,210896
JavaScript,9203
CSS,3276
HTML,7377
JavaScript,1349
Ruby,22870
Go,20458
Makefile,919
Shell,2073
Ruby,6981
R,12226
CSS,1101
Java,107560
JavaScript,4959
Python,2228
Batchfile,2933
C,784217
C++,8598
HCL,123385
Makefile,18893
Objective-C,7696
,
CSS,18994
JavaScript,999780
PHP,607
CSS,5073
HTML,824258
PowerShell,726
C++,21112
Makefile,561
Objective-C,46453
,
Python,33118
CSS,505
HTML,5890
JavaScript,1691
Ruby,28141
Ruby,1743
,
Java,356047
JavaScript,148034
HTML,852
JavaScript,24262
TypeScript,19303
Python,6435
Haskell,2708
GAP,42367
Java,3823236
Web Ontology Language,27514
CSS,36296
HTML,48069
JavaScript,88552
Python,72891
CSS,40045
HTML,293399
Java,1496
JavaScript,2199574
Lua,5827
Shell,22902
CSS,64707
JavaScript,506769
Python,725338
C,2137
Objective-C,275032
Ruby,14205
Shell,7340
CSS,9744
HTML,939
JavaScript,45794
CSS,2683427
HTML,485696
JavaScript,21537951
Shell,441
TypeScript,870609
JavaScript,1550955
PHP,9742943
Scala,1797
,
Python,13493
PHP,24935
,
PHP,1594
Objective-C,48403
Ruby,745
Java,30072
CoffeeScript,162
HTML,1023
Java,335075
Shell,1786
CSS,1032
HTML,654073
R,5606
Ruby,890
TeX,141993
CSS,1624
CoffeeScript,11799
HTML,14138
JavaScript,1425634
PHP,1988
Ruby,851
Shell,416
TypeScript,15559
CSS,1041
Ruby,1189
C++,866
CSS,40
HTML,25063
Makefile,1807
Pascal,3214
Perl,10357
Puppet,147256
Python,15254
Ruby,88639
Shell,18542
CoffeeScript,1410
JavaScript,15849
C,1160
C++,405522
Makefile,3330
Matlab,4502
Protocol Buffer,15658
Shell,22590
Python,131007
Shell,37
PHP,9577
CSS,491
CoffeeScript,10011
C,109638
C++,6425
Makefile,1219
CSS,4764
HTML,6202
JavaScript,394948
Java,196359
,
Python,1134
,
PHP,8597
Shell,59064
,
PHP,26159
ApacheConf,240
CSS,117722
HTML,8423524
JavaScript,359236
PHP,2040525
CSS,904
JavaScript,72389
Perl,48
C,168068
Ruby,18472
Shell,115
,
Python,3501
JavaScript,12140
C++,61399
Makefile,60
Python,694
Objective-C,12398
CSS,31823
HTML,6708
JavaScript,536
1C Enterprise,66405
Groff,1313599
,
ApacheConf,2764
CSS,98319
HTML,191649
JavaScript,49243
PHP,421060
Shell,4442
Python,9510
ASP,114
C#,36898
CSS,979
JavaScript,120428
Ruby,1775
C#,281932
,
C#,8814
C,7717462
C++,28032
FORTRAN,5803
Makefile,2574
Python,6135353
Shell,3831
Swift,10379
JavaScript,10251
,
C,3961640
C++,64034
CMake,10335
M4,7778
Makefile,22307
Shell,77357
,
C,3014
CSS,12
Elm,4869
HTML,217
JavaScript,331384
Batchfile,59
Java,182691
Java,926
Objective-C,43360
CSS,10328
HTML,1205
JavaScript,48
C,902
Python,580027
Shell,191
CSS,514861
HTML,13576
JavaScript,2947655
C,172
Lua,25635
Shell,306
Groovy,42126
Java,496560
JavaScript,57
Shell,570
CSS,23452
HTML,488376
JavaScript,3178440
Shell,580
,
,
CSS,72228
HTML,36379
JavaScript,3549
Ruby,3579
Batchfile,1030
CSS,7479
JavaScript,9638
PHP,114860
CSS,47574
HTML,730
JavaScript,7245
CSS,6247
HTML,3874
JavaScript,536
Python,6745
,
AppleScript,2524
Python,27077
Python,25068
CSS,39681
JavaScript,166013
,
HTML,608
PHP,24302
C#,104881
PowerShell,1363
Shell,1024
Puppet,816
HTML,9093
Puppet,16685
Ruby,37597
Shell,6475
CSS,50421
HTML,21526
JavaScript,53186
Ruby,2387
JavaScript,1107
,
C#,45996
HTML,164
C,385
Emacs Lisp,1336
HTML,184
Python,813
Roff,3056
,
,
Java,647816
,
Ruby,949
JavaScript,16984
JavaScript,17659
,
JavaScript,1643
Objective-C,37615
C,1989076
C++,81897
M4,155013
Makefile,31179
Shell,37224
Yacc,7550
Java,709234
Lua,2937
CSS,196440
HTML,62482
JavaScript,255321
PHP,62785
CSS,1482950
JavaScript,1491105
PHP,8300269
PHP,3906
Ruby,106399
PHP,5073
Python,26185
,
ApacheConf,553
CSS,25589
JavaScript,1299
PHP,87086
Ruby,6399
,
Objective-C,9013
CSS,28
JavaScript,18361
Smarty,7617
Objective-C,48562
Ruby,6180
PHP,20857
Batchfile,9612
C#,544964
CSS,3201
HTML,1970
PLSQL,8920
Visual Basic,3994
HTML,18
Jupyter Notebook,74591
ApacheConf,430
CSS,1936354
HTML,4786
JavaScript,2483263
PHP,11065524
Ruby,856
Shell,1490
CSS,88878
HTML,96512
JavaScript,62724
Ruby,1413
Nginx,1181
Python,421
Shell,435
Emacs Lisp,163
Groff,16835
Makefile,508
Shell,34251
,
Go,5648
JavaScript,1000
CSS,1932
JavaScript,717
Ruby,19869
Python,6423
Python,389286
Shell,6043
Ruby,38764
Batchfile,31291
C,3323
C#,2610595
C++,864786
CSS,17517
Groovy,15092
HTML,4649
Java,20600572
JavaScript,1085
PHP,11079
Scala,653258
Shell,398304
JavaScript,291
ASP,4528
Assembly,9869006
Awk,18681
C,466615651
C++,8892270
GDB,18113
Groff,22012
Lex,40805
M4,3388
Makefile,1358735
Objective-C,1241215
Perl,469215
Python,37296
Scilab,21433
Shell,137645
SourcePawn,2711
UnrealScript,6113
Yacc,83091
Java,57358
Python,165983
CSS,5897
HTML,12274
JavaScript,31726
CSS,46231
HTML,1596
Handlebars,9947
JavaScript,10930
HTML,2921
Makefile,5544
PHP,145251
Python,1958
C++,197163
Objective-C,860
Shell,3013
Groovy,1296
Java,18764
C++,4259
Python,34930
Python,29987
C,12689
C++,3853093
CSS,15231
DIGITAL Command Language,592666
HTML,8201
Isabelle,515
JavaScript,534535
Lex,3683
Lua,31762
M4,140693
Makefile,58261
PLSQL,14074
PLpgSQL,16613
Perl,13466
Protocol Buffer,3495
Python,521842
Ragel,5352
Ruby,44947
Shell,278198
Yacc,4564
JavaScript,47129
C#,15583
Shell,2935
Java,227728
JavaScript,91628
Objective-C,290948
Ruby,1494
ASP,4528
Assembly,8979381
Awk,18679
C,461959816
C++,4385880
DOT,4873
Erlang,3638
JavaScript,34674
Objective-C,1174080
Perl,728603
Python,75653
R,343493
Ruby,911
Scala,12158
Scilab,21433
Shell,163381
TeX,51371
UnrealScript,20838
VimL,1355
XSLT,445
C#,73520
,
C++,300030
CSS,8922
HTML,151642
JavaScript,89616
Makefile,10071
TeX,758815
PHP,193217
Shell,559
JavaScript,1600
JavaScript,5038889
Makefile,398
Ruby,2107
CSS,25051
HTML,1545449
Java,86001
JavaScript,699712
PHP,25856
Python,12069
CSS,201003
JavaScript,168786
Objective-C,54979
Ruby,1015
Ruby,2420
CSS,697821
HTML,184591
JavaScript,1172812
PHP,7485679
PLpgSQL,477930
Shell,36323
CSS,53790
Gherkin,945
HTML,30092
JavaScript,219432
Shell,365
CSS,35
Go,9487
JavaScript,4812
Smarty,4033
Haskell,4387
CSS,471
HTML,3126
JavaScript,813
,
CoffeeScript,15
HTML,308
Protocol Buffer,678
TypeScript,18617886
Perl,5982
Shell,62132
JavaScript,745
C#,24069
,
,
ApacheConf,20250
Batchfile,5233
HTML,704
Java,150042
JavaScript,11874
PHP,6117
Shell,8973
ApacheConf,14
CSS,8930
JavaScript,1845
PHP,1150655
Smarty,63306
HTML,40889
PHP,213873
AutoIt,2195833
Go,108998
CSS,2429
Java,2269
JavaScript,79382
Objective-C,5066
Java,47432
,
HTML,19588
Puppet,67157
Ruby,77798
CSS,1262
HTML,5198
JavaScript,8197
Python,61974
CSS,7461
HTML,20221
JavaScript,387
,
Batchfile,455
C,37340
CMake,783
Objective-C,16742
C#,222942
HTML,1542067
JavaScript,26962
Shell,1327
ASP,30817
JavaScript,594222
PHP,3636847
Perl,234
Ruby,792
CSS,5673
