payload_commit_msg,repository_language
fixed database... that yes I broke,PHP
Yay a readme file!,Python
Really-truly final version for release. Sent to fab. Yay.,Prolog
"Erm, yes, I believe it goes 36-37-38, not 37-36-38. Signed-off-by: Robert Xu <robxu9@gmail.com>",Java
handle haltonfailure=yes case,Java
Step 2 of 7 completed EXTRA CREDIT YAY,Objective-C
add views to play index page; polish bingo style,Ruby
Yay. Fixed bad merge.,Objective-C
oh yay,Python
"Merge branch 'drm-prime-dmabuf-initial' of git://people.freedesktop.org/~airlied/linux Pull dma-buf prime support from Dave Airlie: ""This isn't a majorly urgent thing to have, but we'd like to set the stage for working on dma-buf support in the drm drivers for the next merge window, so I'd like to push in the initial submission now so people have something that we can build on top of. The code just introduces the user interface and internal helper functions for drivers to use. We have driver support under development for i915, nouveau, udl on x86 and exynos, omapdrm on arm, which we would be aiming for the next merge window."" In the -rc1 announcement I asked for people who would use this to comment on it, and got severa ""Yes please"" from people for this and for HSI (that I merged earlier). So far crickets on pohmelfs and the DMA-mapping infrastructure. * 'drm-prime-dmabuf-initial' of git://people.freedesktop.org/~airlied/linux: drm: base prime/dma-buf support (v5)",C
Yay another Marc Watson quote.,Perl
"YAY, can't believe I missed that!",Java
disablesScrollOnlyWhenShowingSearchResults ============================================= Re-implemented attendeesField.disablesScrollOnlyWhenShowingSearchResults = YES; so that the reminder details can be scrolled even when attendees field is the first responder + fixed a bug in the implementation,Objective-C
Better handling of errors from Yay,Python
"Decreased probability of yes to 5%, fixed various bugs",Perl
"New script to fix decompile differences between windows and linux/osx. Removed the MLProp special case, no longer needed as MLProp decompiles fine. Updated patches to work on all systems. Added warning and exit if the user does not say yes to the cleanup.",Java
... rip it up and start again took an a few days old revision and reverted a lot of things - reuseable widgets now working (yay) - CVCenter working (again) (yay) ... to be tested and documented tomorrow - good night,SuperCollider
merged branch pulzarraider/redis_const_profiler_fix (PR #4164) Commits ------- 991474b [HttpKernel] RedisProfilerStorage - Fix falling unit tests when Redis extension is not available Discussion ---------- [HttpKernel] RedisProfilerStorage - Fix falling unit tests when Redis extension is not available Bug fix: yes Feature addition: no Backwards compatibility break: no Symfony2 tests pass: yes Fixes the following tickets: - Todo: - Fix error of my PR #4150 Unit tests were falling if Redis extension was not available. It was caused by using Redis constants.,PHP
merged branch pulzarraider/redis_const_profiler_fix (PR #4164) Commits ------- 991474b [HttpKernel] RedisProfilerStorage - Fix falling unit tests when Redis extension is not available Discussion ---------- [HttpKernel] RedisProfilerStorage - Fix falling unit tests when Redis extension is not available Bug fix: yes Feature addition: no Backwards compatibility break: no Symfony2 tests pass: yes Fixes the following tickets: - Todo: - Fix error of my PR #4150 Unit tests were falling if Redis extension was not available. It was caused by using Redis constants.,PHP
added yes/no button functionality,C++
merged branch pulzarraider/redis_const_profiler_fix (PR #4164) Commits ------- 991474b [HttpKernel] RedisProfilerStorage - Fix falling unit tests when Redis extension is not available Discussion ---------- [HttpKernel] RedisProfilerStorage - Fix falling unit tests when Redis extension is not available Bug fix: yes Feature addition: no Backwards compatibility break: no Symfony2 tests pass: yes Fixes the following tickets: - Todo: - Fix error of my PR #4150 Unit tests were falling if Redis extension was not available. It was caused by using Redis constants.,PHP
yes,Objective-C
yes,Objective-C
