payload_commit_msg,repository_language
tasksel: utiliza, novos metodos de ,verificaçao de pacotes instalados. Signed-off-by: Francisco Prates <mad.kanie@gmail.com>,Java
"Better placement for whitespace marker. Before file name was kind of confusing; it looked like the file wasn't saved, especially annoying when a file has explicit trailing whitespace (like this vimrc for instance.).",VimL
found where that annoying typo was for the initializer,Ruby
datadict: preenche nome do elemento de dados para itens novos. Signed-off-by: Francisco Prates <mad.kanie@gmail.com>,Java
"Send the headers for the websockets response before attempting to receive the nonce * This is a horrible hack to get around haproxy's attempt to be RFC compliant. I hate this, but since it's a only for a deprecated version of the WebSockets protocol, I'll only need to shower twice to wash off the filth of this code.",Python
[nfs] - fix crash when using cached contexts which are already timed out - thats another annoying workaround we can get rid off after bumping to libnfs 1.2 - hell that will be a great time :o),C
removed a few options that I thought were annoying,VimL
remove that annoying ./ that is prefixed to the title,Shell
argh,Python
datadict: valida duplicidade de tabela apenas na criaçao do modelo. Signed-off-by: Francisco Prates <mad.kanie@gmail.com>,Java
setified everything to avoid some annoying logic problems,Java
"datadict: ao adicionar um item do modelo, o campo name desse item obtem o foco. Signed-off-by: Francisco Prates <mad.kanie@gmail.com>",Java
shell: valida corretamente elemento antes de atribui-lo o foco. Signed-off-by: Francisco Prates <mad.kanie@gmail.com>,Java
thinking about writing an article about how annoying recruiters are,PHP
documents: posiciona na coluna correta após inserir novo item. Signed-off-by: Francisco Prates <mad.kanie@gmail.com>,Java
"turn on the amazing zmv - alias it to use 'noglob zmv -W', so that you can do stuff like zmv foo.* bar.* to rename all foo files to bar files without annoying quoting. http://grml.org/zsh/zsh-lovers.html#_zmv_examples_require_autoload_zmv",Ruby
"turn on the amazing zmv - alias it to use 'noglob zmv -W', so that you can do stuff like zmv foo.* bar.* to rename all foo files to bar files without annoying quoting. http://grml.org/zsh/zsh-lovers.html#_zmv_examples_require_autoload_zmv",Ruby
"datadict: substitui componentes Text por componentes de entrada adequados em modo de exibição. com a inversão da leitura de parâmetros em shell, é possível exibir os componentes corretos em exibição. Signed-off-by: Francisco Prates <mad.kanie@gmail.com>",Java
New version 2.1 (I hate when I forget to set up my account),Java
"Delay job start by 1.5 seconds as a workaround When websockets are unavailable, you will often miss output logged from a manually-triggered job in the first second due to the job status page loading up and making its connections. This is a hack, but shouldn't be too annoying (I hope).",CoffeeScript
"Delay job start by 1.5 seconds as a workaround When websockets are unavailable, you will often miss output logged from a manually-triggered job in the first second due to the job status page loading up and making its connections. This is a hack, but shouldn't be too annoying (I hope).",CoffeeScript
"removed command-t, argh",Python
"Homebrew, I straight hate you.",Ruby
Starting script to generate static pages for content so google doesn't hate us.,JavaScript
Register listeners directly on layers. I was crazy to do it the other way. Going through Pointer or Mouse is annoying.,Java
"readme update Markdown, love it or hate it github uses it. Signed-off-by: James A Helly <mrhelly@gmail.com>",PHP
I guess I need to commit changes to reviewboard_src twice? Annoying. Maybe this 'fake-submodules' thing isn't so great after all...,Python
net / netfilter: remove annoying 'comparison will always be true' warning -adding a new function which avoids this warning -using the new function in all places where it makes no sense to check,C
"Updated docs/scripts/misc.org and bin * docs/scripts/misc.org, bin/: [sha4img-db]: fix very annoying issue: -> treatment of file names with `-' was broken, previous fix was wrong: `--' must be added only _before_ file name. Signed-off-by: Vladimir Lomov <lomov.vl@gmail.com>",Emacs Lisp
"Multiple issue fix: Issues 12, 13, and 14 Issue 12: 言葉 Flashcards: Select Cards Based on Performance Statistics Issue 13: 言葉 Flashcards: Remove the Annoying White Border Issue 14: TLogParser Does Not Clear Its Field Buffer",Python
Being a perfectionist can be annoying at times...,JavaScript
got rid of an annoying debug message,JavaScript
"Argh, wrong version",C#
Remove gedit temporary files (annoying files ending with a tilde).,C
Turned off the vim auto-split windows It was annoying me for some reason,VimL
the annoyed sigh,Ruby
getNewData won't close the db connection... argh,JavaScript
* Fixed annoying tooltips * Tweaked console anim some more,JavaScript
I officially hate utf8,JavaScript
adding the fart sounds back in. the wife was starting to get reeeeeeallly annoyed,CoffeeScript
added script to remove annoying windows/osx filesystem shit,Lua
flymake: do not display a dialog box for errors source: http://stackoverflow.com/questions/2571436/emacs-annoying-flymake-dialog-box,Emacs Lisp
"CMake: avoid generating two times the C Vala code It was very annoying to wait the two compilations... No, Vala is not like LaTeX, ONE compilation is enough, it was just a bug...",Vala
added env for mad pages folder,Ruby
