payload_commit_msg,repository_language
Removed shit,C++
gitignore crap,Ruby
added flush after each log write to try to get shit going on Windows,Java
Push default URL in to the main window because fuck you.,JavaScript
"Fix include and Add the option to include the generated file into the tarball. if -addimplementation is set ass thrird Parameter, than the generated source is placed into the tarball. The inclusion of CEmbedResources.h is now from localdir for a better embed suppport into your project.",C
Damn image previewer...,Java
endless-piss-me-the-fuck-off,Python
[nfs] - fix crash when using cached contexts which are already timed out - thats another annoying workaround we can get rid off after bumping to libnfs 1.2 - hell that will be a great time :o),C
"hell yeah, tdd made the impossible possible: hasMany through!",CoffeeScript
"shit, fix timezone issue later",Perl
Now *nix can build again.... damn case,C#
deleted crap compiled files,Python
Finished some shit. Answered some questions. 15.lisp updated.,Common Lisp
include shit,Haskell
"Damn it, got another broken validation job. Hopefully this one will work.",Python
Remove NEED_ROOT crap This patch revert patch 042d197b4d989ec64. Signed-off-by: Sébastien Luttringer <seblu@seblu.net>,Shell
"partially done class diagram, and some crap, sorry",Prolog
#$%&@ CCK and Features need to kiss and make up... And not screw up the content database records,PHP
Removed TJ's crap! learn 2 git rm :P,Prolog
I don't get paid enough for this shit.,Haskell
"if you're not using et, fuck off",Haskell
remove the crap status bar for xmonad,C++
Syntax error solved. Damn commas,Ruby
Romeving this crap,VimL
"if you're not using et, fuck off",C
Fucking templates.,Haskell
Fucking templates.,Haskell
"Address some review comments from Duncan. This moves the iterative offset accumulation to use a boring APInt instead of ConstantExprs. I didn't go all the way to an 'int64_t' because I wanted APInt to handle any magic required to properly wrap the arithmetic when the pointer width is <64 bits. If there is a significant penalty from using APInt here, first off WTF, and secondly let me know and I'll do the math by hand. I've left one layer still operating w/ ConstantExpr because it makes the interface quite a bit simpler, and that one isn't iterative so has much lower cost. I suppose this may potentially speed up some strang compilation situations, but I don't really expect much. It should have no functional impact either way.",C++
"Address some review comments from Duncan. This moves the iterative offset accumulation to use a boring APInt instead of ConstantExprs. I didn't go all the way to an 'int64_t' because I wanted APInt to handle any magic required to properly wrap the arithmetic when the pointer width is <64 bits. If there is a significant penalty from using APInt here, first off WTF, and secondly let me know and I'll do the math by hand. I've left one layer still operating w/ ConstantExpr because it makes the interface quite a bit simpler, and that one isn't iterative so has much lower cost. I suppose this may potentially speed up some strang compilation situations, but I don't really expect much. It should have no functional impact either way. git-svn-id: https://llvm.org/svn/llvm-project/llvm/trunk@152590 91177308-0d34-0410-b5e6-96231b3b80d8",C++
