repo_name,language_name
EDDiscovery/EDDiscoveryData,
FreddieWitherden/libforensic1394,C
FreddieWitherden/libforensic1394,C++
FreddieWitherden/libforensic1394,Python
MartyMacGyver/gothlife,Go
gopz4u/ready,C#
gopz4u/ready,C++
gopz4u/ready,CSS
gopz4u/ready,HTML
gopz4u/ready,Java
gopz4u/ready,JavaScript
gopz4u/ready,Objective-C
NASA-rocket-science/NASA-rocket-science.github.io,CSS
NASA-rocket-science/NASA-rocket-science.github.io,HTML
NASA-rocket-science/NASA-rocket-science.github.io,JavaScript
NASA-rocket-science/NASA-rocket-science.github.io,Ruby
Obeythecreed/kappavision-old,CSS
Obeythecreed/kappavision-old,HTML
Obeythecreed/kappavision-old,JavaScript
Obeythecreed/kappavision-old,TypeScript
eweilow/SL-monitor,CSS
eweilow/SL-monitor,JavaScript
jamrizzi/python2path,C#
kinvil/simple-html2canvas-jsPDF,CSS
kinvil/simple-html2canvas-jsPDF,HTML
kinvil/simple-html2canvas-jsPDF,JavaScript
MahirZukic/MassSocialEventSender,CSS
MahirZukic/MassSocialEventSender,HTML
MahirZukic/MassSocialEventSender,JavaScript
dkm/pyou-accelerator,Python
batuorhanalp/HizLimiti,Objective-C
batuorhanalp/HizLimiti,Swift
SmartArtsStudio/addPhysicsJS,
IdealMarketingMeran/tx_openemm,ApacheConf
IdealMarketingMeran/tx_openemm,HTML
IdealMarketingMeran/tx_openemm,JavaScript
IdealMarketingMeran/tx_openemm,PHP
khalidm/ped,Makefile
khalidm/ped,Python
miya0001/pb-cli,Ruby
miya0001/pb-cli,Shell
bashism/pass-dialog,Shell
Toady00/mcp_base,CSS
Toady00/mcp_base,JavaScript
Toady00/mcp_base,Ruby
dflax/CookieCrunch,Swift
yatesco/midje-test,Clojure
FGMEMBERS/737-300-CHT,
swalke16/rails_responsive_rater,Ruby
ayann/ayann.github.io,CSS
ayann/ayann.github.io,HTML
ayann/ayann.github.io,JavaScript
ayann/ayann.github.io,Ruby
murat8505/ExoPlayer,C++
murat8505/ExoPlayer,Java
murat8505/ExoPlayer,Makefile
murat8505/ExoPlayer,Shell
Wenzel/wenzel.github.io,CSS
Wenzel/wenzel.github.io,HTML
Wenzel/wenzel.github.io,Ruby
camdenb/camdenb.github.io,CSS
camdenb/camdenb.github.io,HTML
camdenb/camdenb.github.io,JavaScript
