url,Languages
https://github.com/0X1A/core-utils,Rust
https://github.com/1024jp/GzipSwift,Ruby Swift C++
https://github.com/13tags/personal-message-bbm-html5-webworks,JavaScript
https://github.com/1l2p/todolister,Shell
https://github.com/2sb18/pretty-list-printer,Racket
https://github.com/3upperm2n/GPUsr,Matlab HTML
https://github.com/809848367/JSPatch,JavaScript Objective-C Ruby
https://github.com/AGiorgetti/agiorgetti.github.io,Ruby JavaScript HTML CSS Batchfile
https://github.com/API-Skeletons/zf-oauth2-doctrine-permissions-acl,PHP
https://github.com/ARMmbed/mbed-connector-api-python,Shell C Python
https://github.com/ASPLes/nopoll,C++ Shell Python NSIS Makefile M4 JavaScript HTML CSS C
https://github.com/AU-PSL/demonsimulationcode,C++ CMake Python C
https://github.com/AadityaJ/CP,C++ Shell Python
https://github.com/Adiss/KartyaProject-Java,Java
https://github.com/AeonDigital/Code-Craft-js_BasicTools,HTML CSS JavaScript
https://github.com/AfzalivE/venuevue-android,Java Shell Groovy
https://github.com/AlanZatarain/python-astm,Python
https://github.com/AlexaBierm3/Alexander,C++ Assembly Perl Python Shell Objective-C C
https://github.com/AlexisTM/LightBus-Arduino,C++ C Arduino
https://github.com/Alexpux/MINGW-packages,Batchfile Makefile QMake CMake QML Lua M4 Python Roff Shell C
https://github.com/AllieRays/debugging-drupal-8,Visual Basic CSS C++ Shell Ruby PHP JavaScript HTML Cucumber ApacheConf
https://github.com/Anastaszor/phpmyadmin,Shell ApacheConf CSS HTML JavaScript PHP
https://github.com/AndreasMadsen/levenshtein-benchmark,JavaScript
https://github.com/Antiquum/Crimson,Java
https://github.com/Aomitayo/injectables,JavaScript
https://github.com/Arkenep/tree,HTML JavaScript CSS
https://github.com/ArnCarveris/cxbx,Objective-C Batchfile C C++ Groff HTML Makefile
https://github.com/BCDevOps/gigles,JavaScript
https://github.com/BackupGGCode/js2cpp,HTML C C++ JavaScript
https://github.com/BaiGang/distr_admm,Makefile Python Shell C C++ Java
https://github.com/BartAdv/clientsession,Haskell
https://github.com/BenchR267/HodorKeyboard,Swift
https://github.com/Berzel/berzelbtumbude,PHP CSS JavaScript
https://github.com/BestWayOut/char-size,JavaScript
https://github.com/BigRefT/bionic_cms,Ruby JavaScript PHP
https://github.com/Blealtan/2015-Web-Design-Lecture,HTML
https://github.com/Bloc/ios-exercises,Objective-C Swift
https://github.com/Bloutiouf/VineWall,JavaScript CSS
https://github.com/BlueFern/DBiharMesher,FORTRAN Python C++ CMake
https://github.com/BrianGronborg/SU0159Test,Python
https://github.com/CEREMA/com.cerema.cloud,Shell Java
https://github.com/CampusColiving/auth-blueprint-ember-cli,HTML Handlebars JavaScript
https://github.com/Capitalist-Paradise/Capitalist-Paradise-Constitution,HTML
https://github.com/CezaryDanielNowak/CMSMS-cofig-generator,PHP
https://github.com/ChainGangChase/cgc-game,Java
https://github.com/ChanJLee/ChanKugouLayout,Java
https://github.com/CharlieMurphy712/ssqlib,C#
https://github.com/Chilledheart/libwebsockets,Perl Shell C NSIS Objective-C Makefile HTML CMake
https://github.com/ChoicesWang/MangoWeather,Java
https://github.com/Chosko/jekyll-template,Ruby JavaScript HTML CSS
https://github.com/ChrisNikkel/Triangle,F#
https://github.com/ChristianSchlake/vokabeln,PHP CSS JavaScript Shell
https://github.com/CiscoCloud/Shipped-Learning-Labs,Shell HTML Batchfile
https://github.com/ClearBlade/Python-API,Python
https://github.com/CodeFalling/codefalling.github.io,Shell HTML
https://github.com/Codewars/deprecated-codewars-docker,Shell Python JavaScript CoffeeScript
https://github.com/Comingle/Mod-Sketch,C Arduino
https://github.com/ComiteGrimoire/GrimMinecraftModTuto,Java
https://github.com/Csluikidikilest/Bm2sBO,JavaScript HTML CSS C# ASP
https://github.com/D3VON/java_exercises,Java
https://github.com/DallasElleman/APMD,Arduino
https://github.com/DataDecks/DataDecks-Data,JavaScript
https://github.com/DaveSpivey/touchtone,JavaScript HTML CSS
https://github.com/David-Nicollas/po-homework,C
https://github.com/DavidPiper94/MetaheuristicKit,Shell Objective-C Ruby Swift
https://github.com/Davidblkx/SimpleMemoryDB,C#
https://github.com/Daz2345/meteor-ios,Ruby Shell JavaScript HTML CSS Objective-C
https://github.com/DerekSeverson/AngularJS-StyleGuide-IonicApp,JavaScript CSS
https://github.com/DevaHack/DevaHack.github.io,CSS Ruby JavaScript HTML
https://github.com/DmitryErmolchik/NestIntegration,Java
https://github.com/Doap/revolution-racer,PHP
https://github.com/DrewNaylor/UXL-Launcher,Visual Basic
https://github.com/EJahren/haskell-sdl2,Haskell
https://github.com/EZ-NET/ESTestKit,Swift Ruby Objective-C
https://github.com/EdgarVaguencia/replaceWord,PHP JavaScript
https://github.com/EdwardTo/edwardto.github.io,HTML JavaScript PHP CSS
https://github.com/Electrode-iOS/ELLog,Swift Objective-C
https://github.com/ElvisKang/spf13-vim,Batchfile VimL Shell
https://github.com/EndPointCorp/qtile,Shell Makefile Python
