Language,MedianFileSize,StandardDeviationInFileSize
1C Enterprise,66405.0,NaN
APL,33399.5,46676.83
ASP,394.0,37413.574
ActionScript,1290.0,159970.6
Ada,2909.0,207885.64
ApacheConf,627.0,130581.5
AppleScript,627.0,106197.33
Arc,621.5,105178.586
Arduino,1212.0,98350.414
Assembly,1666.0,1953248.1
AutoHotkey,2342.5,2322202.5
AutoIt,2524.0,2313662.8
Awk,2616.0,2241363.2
Batchfile,2616.0,1969391.5
Bison,2161.0,1804957.5
BlitzBasic,2356.0,1798466.8
C,4528.0,5.7438668E7
C#,9394.0,5.9645628E7
C++,18210.0,5.2165196E7
CLIPS,21489.5,4.8540064E7
CMake,20250.0,4.8081008E7
CSS,14994.0,4.03723E7
Clojure,13166.0,3.5635408E7
CoffeeScript,12689.0,3.513236E7
Common Lisp,12252.0,3.4743476E7
Coq,12252.0,3.4697236E7
Crystal,12269.0,3.4677564E7
Cucumber,12252.0,3.4592208E7
Cuda,12252.0,3.45402E7
D,11799.0,3.448816E7
DIGITAL Command Language,12252.0,3.4423484E7
DOT,12025.5,3.4404304E7
Dart,12286.0,3.4341688E7
Elixir,12286.0,3.4289088E7
Elm,12286.0,3.4270104E7
Emacs Lisp,12286.0,3.4203504E7
Erlang,11799.0,3.409346E7
F#,11585.0,3.4012456E7
FLUX,11539.5,3.398776E7
FORTRAN,11494.0,3.39692E7
FreeMarker,11539.5,3.3950664E7
GAP,11585.0,3.390128E7
GDB,11585.0,3.3852216E7
GDScript,11692.0,3.3840088E7
GLSL,11585.0,3.3780524E7
Gherkin,11578.0,3.3707652E7
Gnuplot,11494.0,3.3657952E7
Go,11799.0,3.3340116E7
Gosu,12252.0,3.3077488E7
Groff,12349.0,3.2921236E7
Groovy,12286.0,3.2682628E7
HCL,12317.5,3.2591624E7
HTML,11494.0,3.0238494E7
Handlebars,11581.5,2.838125E7
Haskell,11685.0,2.8277546E7
IDL,11739.0,2.8178584E7
Idris,11769.0,2.816808E7
Inno Setup,11799.0,2.8157524E7
Isabelle,11799.0,2.8157556E7
Java,13166.0,2.731879E7
JavaScript,16769.0,2.4702014E7
Julia,17126.0,2.3184006E7
Jupyter Notebook,17213.0,2.3159898E7
KiCad,17298.0,2.3147408E7
Kotlin,17260.0,2.3141584E7
Lex,17222.0,2.3109924E7
Logos,17165.0,2.3085488E7
Lua,17165.0,2.3034056E7
M4,17165.0,2.2973356E7
Makefile,16153.0,2.2673744E7
Mako,15375.5,2.2406512E7
Mask,15375.5,2.240917E7
Mathematica,15385.0,2.2403886E7
Matlab,15385.0,2.2391196E7
Mercury,15423.5,2.2388054E7
NSIS,15462.0,2.2372232E7
NewLisp,15423.5,2.2366996E7
Nginx,15385.0,2.2353846E7
OCaml,15385.0,2.2340742E7
Objective-C,15639.0,2.2135368E7
Objective-C++,15664.0,2.1923426E7
Objective-J,15661.0,2.190317E7
PHP,16804.0,2.1527708E7
PLSQL,17305.0,2.1142492E7
PLpgSQL,17260.0,2.1123398E7
Pascal,17298.0,2.1110204E7
Perl,17222.0,2.1012956E7
Perl6,17204.0,2.0937398E7
PigLatin,17184.5,2.0935268E7
PostScript,17204.0,2.0923842E7
PowerShell,17087.0,2.088486E7
Processing,16984.0,2.0854392E7
Prolog,16984.0,2.0850158E7
Protocol Buffer,16888.0,2.082314E7
Puppet,16835.0,2.0785438E7
Python,17034.0,2.0306302E7
QML,17087.0,1.9873008E7
QMake,17086.0,1.9861688E7
R,17034.0,1.9828882E7
RAML,16984.0,1.9808672E7
Racket,16984.0,1.980504E7
Ragel,16984.0,1.9801426E7
Rebol,16984.0,1.9797798E7
Roff,16984.0,1.9786948E7
Ruby,16685.0,1.9517438E7
Rust,16443.0,1.9238766E7
SAS,16416.0,1.922993E7
SQL,16389.0,1.9226616E7
SQLPL,16382.5,1.9223302E7
Scala,16443.0,1.9187756E7
Scheme,16443.0,1.9158988E7
Scilab,16443.0,1.915145E7
Shell,15549.0,1.8823462E7
Slash,14914.0,1.8506852E7
Smalltalk,14914.0,1.84968E7
Smarty,14941.0,1.8480718E7
SourcePawn,14839.0,1.8467562E7
Swift,14941.0,1.8443816E7
SystemVerilog,14927.5,1.8427544E7
Tcl,14914.0,1.8421706E7
TeX,14941.0,1.8393288E7
Thrift,14994.0,1.8366684E7
TypeScript,15092.0,1.8345168E7
UnrealScript,15142.0,1.8321482E7
Vim script,15162.0,1.8317474E7
VimL,15138.0,1.8306022E7
Visual Basic,15138.0,1.829745E7
Web Ontology Language,15138.0,1.8291742E7
XML,15142.0,1.8286034E7
XS,15142.0,1.828176E7
XSLT,15126.0,1.8258834E7
Xtend,15138.0,1.8243424E7
Yacc,15138.0,1.822815E7
eC,15132.0,1.822223E7
